,datas,exames
0,2020-03-02,1
1,2020-03-14,1
2,2020-03-21,1
3,2020-03-22,1
4,2020-03-24,2
5,2020-03-26,1
6,2020-03-27,1
7,2020-04-03,1
8,2020-04-06,3
9,2020-04-08,1
10,2020-04-09,1
11,2020-04-11,2
12,2020-04-13,3
13,2020-04-14,1
14,2020-04-15,6
15,2020-04-16,7
16,2020-04-17,1
17,2020-04-18,3
18,2020-04-19,3
19,2020-04-20,3
20,2020-04-21,2
21,2020-04-22,5
22,2020-04-24,2
23,2020-04-25,11
24,2020-04-26,9
25,2020-04-27,13
26,2020-04-28,4
27,2020-04-29,23
28,2020-04-30,20
29,2020-05-01,1
30,2020-05-02,1
31,2020-05-03,4
32,2020-05-05,1
33,2020-05-09,2
34,2020-05-11,2
35,2020-05-19,1
36,2020-06-02,1
37,2020-06-04,1
38,2020-06-05,4
39,2020-06-06,1
40,2020-06-22,1
41,2020-06-23,1
42,2020-07-01,1
43,2020-07-16,1
44,2020-07-17,2
45,2020-07-18,1
46,2020-07-19,1
47,2020-07-20,3
48,2020-07-21,3
49,2020-07-22,2
50,2020-07-23,3
51,2020-07-24,1
52,2020-07-27,2
53,2020-07-28,5
54,2020-07-29,3
55,2020-07-30,3
56,2020-07-31,3
57,2020-08-01,2
58,2020-08-04,1
59,2020-08-05,4
60,2020-08-06,3
61,2020-08-07,1
62,2020-08-08,2
63,2020-08-09,1
64,2020-08-10,2
65,2020-08-11,1
66,2020-08-12,1
67,2020-08-13,5
68,2020-08-14,1
69,2020-08-16,1
70,2020-08-17,4
71,2020-08-18,2
72,2020-08-19,1
73,2020-08-20,3
74,2020-08-21,2
75,2020-08-24,2
76,2020-08-25,2
77,2020-08-31,2
78,2020-09-01,3
79,2020-09-02,1
80,2020-09-03,1
81,2020-09-05,2
82,2020-09-06,1
83,2020-09-07,1
84,2020-09-08,2
85,2020-09-11,2
86,2020-09-12,2
87,2020-09-13,2
88,2020-09-14,1
89,2020-09-15,1
90,2020-09-20,3
91,2020-09-21,3
92,2020-09-22,3
93,2020-09-24,6
94,2020-09-25,2
95,2020-09-26,1
96,2020-09-27,2
97,2020-09-28,1
98,2020-09-29,3
99,2020-09-30,1
100,2020-10-01,5
101,2020-10-02,2
102,2020-10-03,1
103,2020-10-04,3
104,2020-10-05,1
105,2020-10-06,2
106,2020-10-07,1
107,2020-10-08,3
108,2020-10-09,2
109,2020-10-11,2
110,2020-10-12,2
111,2020-10-13,3
112,2020-10-14,1
113,2020-10-15,7
114,2020-10-16,1
115,2020-10-18,1
116,2020-10-19,1
117,2020-10-20,2
118,2020-10-21,1
119,2020-10-22,10
120,2020-10-23,8
121,2020-10-24,3
122,2020-10-25,1
123,2020-10-26,3
124,2020-10-27,2
125,2020-10-28,7
126,2020-10-29,14
127,2020-10-30,5
128,2020-10-31,2
129,2020-11-01,1
130,2020-11-03,1
131,2020-11-04,1
132,2020-11-05,41
133,2020-11-06,30
134,2020-11-07,17
135,2020-11-08,39
136,2020-11-09,277
137,2020-11-10,579
138,2020-11-11,306
139,2020-11-12,407
140,2020-11-13,561
141,2020-11-14,164
142,2020-11-15,128
143,2020-11-16,495
144,2020-11-17,890
145,2020-11-18,916
