,data,quantidadeSuspeitos,quantidade,quantidadeObitos
0,2020-01-01,10,2,0
1,2020-01-02,1,2,1
2,2020-01-03,1,0,0
3,2020-01-04,0,0,0
4,2020-01-05,0,0,0
5,2020-01-06,2,0,0
6,2020-01-07,0,1,0
7,2020-01-08,0,0,0
8,2020-01-09,0,0,0
9,2020-01-10,0,0,0
10,2020-01-11,0,1,0
11,2020-01-12,0,0,0
12,2020-01-13,0,0,0
13,2020-01-14,0,0,0
14,2020-01-15,2,0,0
15,2020-01-16,0,1,0
16,2020-01-17,0,0,0
17,2020-01-18,1,0,0
18,2020-01-19,0,0,0
19,2020-01-20,1,2,0
20,2020-01-21,1,0,0
21,2020-01-22,0,0,0
22,2020-01-23,0,0,0
23,2020-01-24,0,1,0
24,2020-01-25,1,0,0
25,2020-01-26,0,1,0
26,2020-01-27,0,0,0
27,2020-01-28,0,0,0
28,2020-01-29,0,1,0
29,2020-01-30,1,0,0
30,2020-01-31,0,0,0
31,2020-02-01,3,0,0
32,2020-02-02,2,5,0
33,2020-02-03,1,5,0
34,2020-02-04,2,2,0
35,2020-02-05,1,3,1
36,2020-02-06,0,5,0
37,2020-02-07,0,2,0
38,2020-02-08,0,2,0
39,2020-02-09,0,1,0
40,2020-02-10,3,1,0
41,2020-02-11,0,0,0
42,2020-02-12,1,4,0
43,2020-02-13,0,1,0
44,2020-02-14,1,1,0
45,2020-02-15,3,4,1
46,2020-02-16,0,5,0
47,2020-02-17,3,2,0
48,2020-02-18,2,1,0
49,2020-02-19,2,0,0
50,2020-02-20,4,3,0
51,2020-02-21,1,1,0
52,2020-02-22,3,6,0
53,2020-02-23,4,0,0
54,2020-02-24,2,2,0
55,2020-02-25,4,1,0
56,2020-02-26,4,3,0
57,2020-02-27,4,2,0
58,2020-02-28,2,2,0
59,2020-02-29,3,1,0
60,2020-03-01,40,3,0
61,2020-03-02,6,9,0
62,2020-03-03,18,2,0
63,2020-03-04,4,2,0
64,2020-03-05,23,1,0
65,2020-03-06,4,4,0
66,2020-03-07,4,1,0
67,2020-03-08,8,2,0
68,2020-03-09,11,2,0
69,2020-03-10,29,4,0
70,2020-03-11,8,2,0
71,2020-03-12,11,4,0
72,2020-03-13,6,1,0
73,2020-03-14,7,7,0
74,2020-03-15,29,4,0
75,2020-03-16,23,17,0
76,2020-03-17,10,34,0
77,2020-03-18,20,24,0
78,2020-03-19,14,38,0
79,2020-03-20,38,41,1
80,2020-03-21,16,50,1
81,2020-03-22,8,60,1
82,2020-03-23,12,47,4
83,2020-03-24,10,90,7
84,2020-03-25,17,62,2
85,2020-03-26,8,106,7
86,2020-03-27,14,114,8
87,2020-03-28,15,87,6
88,2020-03-29,9,75,7
89,2020-03-30,27,163,11
90,2020-03-31,7,106,5
91,2020-04-01,68,142,12
92,2020-04-02,13,198,19
93,2020-04-03,26,162,10
94,2020-04-04,22,153,16
95,2020-04-05,39,187,12
96,2020-04-06,12,201,21
97,2020-04-07,24,210,13
98,2020-04-08,20,208,15
99,2020-04-09,17,247,23
100,2020-04-10,52,186,13
101,2020-04-11,19,236,24
102,2020-04-12,31,172,21
103,2020-04-13,44,378,26
104,2020-04-14,29,335,21
105,2020-04-15,64,485,36
106,2020-04-16,33,519,26
107,2020-04-17,44,482,33
108,2020-04-18,41,311,32
109,2020-04-19,30,259,31
110,2020-04-20,92,494,44
